elpd_loo,elpd_loo_se,p_loo,p_loo_se
-4488.853929,38.15504437,397.0646974,10.39111946
-4519.456758,38.64138899,419.5873454,10.84730616
-4550.669491,38.33711462,401.8089425,11.07903481
-4524.430749,37.07801433,427.7620098,11.51708501
-4504.102821,38.34622152,418.0165547,11.23399486
-4473.380618,38.00396037,414.0827718,11.31621798
-4434.706814,37.54314323,419.0528128,10.69995992
-4492.558883,37.98035085,421.9502167,11.29615321
-4530.085271,38.90447567,425.1747312,11.7363538
-4409.067475,38.39690157,413.8730865,11.13429761
-4533.178849,38.68740472,433.1895526,11.56834664
-4495.959582,40.9703334,422.4473154,12.33488594
-4477.793802,37.63143417,413.5790246,11.46870043
-4439.769342,37.27165766,438.0716061,12.25656709
-4488.791147,37.49422365,423.9942152,11.12520766
-4506.661795,39.01972367,417.9103705,10.85490263
-4480.568129,40.60153589,412.3974731,11.99063205
-4510.314535,38.84251502,436.9695619,11.60573247
-4457.730374,38.98406024,441.0525595,11.70892583
-4489.221167,38.51239336,412.5157952,11.55576518
-4505.205687,39.21674711,426.6092377,11.37975499
-4548.824694,38.21894123,436.6204506,11.20861995
-4538.265194,39.33864471,401.2363413,11.53712566
-4508.137202,38.27396564,434.1168619,11.92756665
-4431.982288,36.52939939,414.7319672,11.43170274
-4475.970335,38.89269711,415.5968427,11.5726604
-4504.255284,37.22975639,427.5675673,11.21950297
-4538.337052,38.53192769,414.8532415,10.9353393
-4547.077917,38.574233,418.0664449,11.63522062
-4470.232137,38.71147715,402.1958841,11.18440375
-4503.044575,39.03176581,440.5720797,12.59065892
-4459.113592,38.289122,422.7376259,11.65828295
-4402.601932,37.72687552,405.9874671,10.79011601
-4452.403626,37.79410217,450.7565432,14.00479163
-4473.042552,39.30253918,412.7056376,11.55593339
-4426.45266,36.54431532,433.8182904,11.25754554
-4505.257017,38.89908487,417.08095,12.08864866
-4562.299301,38.79337533,437.2712255,12.94381864
-4523.745077,38.28933811,409.6088156,10.69758648
-4491.045616,38.89065392,426.1765362,12.03229082
-4526.338709,39.06593324,411.6338585,11.4677634
-4589.284341,38.35206919,430.9872596,11.28874109
-4466.929066,39.27561405,413.7385145,11.04428411
-4515.680068,38.16537815,421.699791,11.40235511
-4539.821274,38.9197336,421.7871673,12.28928804
-4447.772294,37.97784866,437.4892876,11.78808301
-4438.769586,37.55566477,404.1583913,10.79323294
-4503.219971,39.27100954,423.1961158,11.83722773
-4461.954145,39.02217367,413.6807585,11.67022396
-4549.436682,38.07794069,408.0258619,10.96462445
-4500.313187,38.26569933,428.0347122,12.4731975
-4471.828377,37.90132866,434.1375705,11.61053184
-4573.369922,38.13799127,415.8019145,11.2385412
-4440.323406,38.07633508,412.5712835,11.39731344
-4457.949361,38.5205358,423.3048665,11.2243545
-4439.72851,38.39322401,417.1758155,10.74172531
-4436.133719,36.73798681,425.2852299,10.69685772
-4537.249766,37.75737591,422.0889492,11.52704465
-4511.287379,38.64644538,415.7853607,11.28899895
-4455.133056,38.20566451,414.2694257,11.77084864
-4491.190858,36.77926038,436.9247959,12.85388399
-4469.030185,38.36833489,436.4784388,11.47394053
-4502.840915,38.89877584,442.3538881,12.16254411
-4536.0967,39.37528248,420.9832831,11.44330026
-4461.373845,38.44240897,421.0523112,11.26175931
-4470.002621,36.96737716,434.4691276,11.55206386
-4562.369399,37.89171251,418.2471822,11.52497208
-4474.116905,39.34505563,438.3672888,12.62798179
-4554.217079,39.41055798,434.1210217,11.73913803
-4393.652248,38.50936902,414.4288776,10.97651625
-4479.830655,39.52263902,441.027348,11.99082427
-4444.866495,38.13609011,457.4738944,13.51026548
-4558.180925,38.91170806,431.7375452,11.64526834
-4550.189182,37.97280434,441.0047945,11.31650039
-4509.356624,39.23073595,441.0117252,13.52173655
-4569.57942,38.06810385,423.4318805,11.38968135
-4563.388609,38.04591456,422.9988053,10.98790167
-4459.397977,39.30574643,409.8813797,11.5416091
-4544.466281,37.32784109,435.7239509,11.23124456
-4552.255209,39.54818707,419.828148,11.03238567
-4441.963852,39.83456195,438.8158165,12.24247831
-4485.533578,37.65880563,426.6654195,11.49972681
-4463.006462,38.5585281,421.8962059,11.3638193
-4456.234431,38.27435613,421.9731688,10.55740235
-4438.657892,39.01755588,451.2260486,12.24665362
-4483.873674,38.39663783,426.2327998,10.64087189
-4470.557677,39.42880021,424.7624103,11.67585558
-4529.531437,38.16456141,416.7993155,11.17310546
-4498.921356,37.5640307,429.7740279,11.63013592
-4496.736922,38.27820923,431.4264649,11.32280211
-4434.33168,37.1415798,411.4329686,11.02712684
-4523.719661,39.23086965,435.6908583,11.39224829
-4442.040496,40.44908655,429.6109552,12.96900606
-4487.64377,38.00958761,429.4285015,11.9050385
-4435.584728,38.57903613,429.6557648,11.51996417
-4561.135661,37.04963986,399.3043729,10.53228956
-4430.605726,37.71875325,426.8374148,11.6722626
-4531.364948,39.87322046,421.1926845,11.9219139
-4521.262475,38.47798795,417.9274097,11.62292301
-4455.921326,38.57264995,431.125162,11.6854067
