"elpd_loo","elpd_loo_se","p_loo","p_loo_se"
-4532.44029653554,39.5875429206128,404.414216318911,11.5377249008752
-4556.59677935345,39.0524646621067,413.189879995031,11.7345429448552
-4594.37714241548,38.070551299192,391.851598916846,10.7688170498277
-4571.6469593351,39.3638917598398,423.08017162205,11.8964198336744
-4500.97402548183,38.6065536437376,441.545433001637,13.8202139069304
-4505.03916030972,37.7087167770221,406.1089401402,10.9280850292095
-4484.62036084486,38.6128392255679,419.418885005859,11.344130301217
-4547.41722526363,40.3327457707296,405.733341501645,11.7926080906648
-4572.86362354509,38.8676849386513,416.455567343195,11.4323429578083
-4456.36768055905,39.4078371761524,416.413984272417,12.1857819397049
-4574.12700183628,37.8007797069367,435.58919361953,11.8660872978666
-4547.89238181494,38.7060110483274,421.900412705376,10.948032864294
-4535.63998322932,39.4908312002243,407.040778345852,11.4000838519054
-4509.73942957833,37.6132398331067,427.110840124129,10.8976453850014
-4535.62383030736,38.4290793341581,425.176248228861,11.7912026660322
-4521.20866180004,38.0484797236498,422.972277264442,12.6432508440806
-4521.16602121754,40.1516479407291,408.193004463282,11.4295431240612
-4553.41410895678,38.7389897061395,429.179881776272,11.4333194471574
-4460.30354755856,38.0921133990441,495.907960707633,15.0458927826642
-4533.97007718248,37.6695637564787,381.070717898671,11.4769246259035
-4549.80110127253,38.5622025077291,420.478430982683,11.2748035146999
-4583.18798317244,37.4041366313292,441.787513685192,11.4178776595359
-4565.35015838459,38.2359171407743,401.419265984729,12.338275312845
-4561.62248527025,39.6828881251783,433.203042902147,12.5779491663824
-4462.11440341372,38.2353863742559,418.19837858801,11.4944814512267
-4521.97425299849,38.1314569513106,404.671701093286,10.8202349846466
-4560.39595995276,36.323656943804,420.496341272575,11.4515362680496
-4506.95232433522,37.5696441255977,434.413728669238,13.9953375073107
-4588.39004673086,38.0939983705358,417.564820303764,11.5041668789914
-4495.70824821148,39.3914315832151,412.055521430569,12.0288735364457
-4572.48481463336,38.9683586534741,423.979792363886,11.9021927900238
-4515.57015429738,39.1767387881844,419.18206776244,11.3606593354632
-4454.25809062951,38.268108377372,416.749423421,11.4230381263614
-4525.54732109528,38.0603635259328,426.110429564728,11.1506551384724
-4518.84397826465,39.422066144684,401.683118577058,10.8938063517562
-4481.53165662018,39.291708768278,428.36056309362,11.5461070553003
-4524.67736856299,37.531493607554,416.059207003608,11.2824708531982
-4609.53716275584,38.8247365216947,417.833374847094,12.0048915165854
-4554.20806020466,39.0951306819826,402.502171163362,10.9989091272403
-4539.25517022698,38.3547977475232,403.620276382164,10.9863074048066
-4567.12853127982,38.5688697475253,409.381995802415,11.5707419257211
-4631.39778819961,38.6303733767845,434.033752355351,11.4322159718846
-4514.31700031316,37.2924107348358,409.405239527445,10.1600516276102
-4541.39818888845,39.3139524418924,451.506523309283,13.3243057051546
-4576.57646665339,39.5467429918588,416.640480469261,12.1554316281806
-4459.75797963481,38.3844489368461,455.382681063985,12.6792782948079
-4493.42835817255,39.6876956201572,392.322157619454,10.5998679438763
-4546.3963389423,37.8757249691715,431.534319968392,11.640164688377
-4516.16798886098,38.3663908145609,405.514699618106,10.6883225350499
-4547.32911870246,39.6114637943178,424.558025300076,11.9672145500506
-4559.45326615727,38.2152438134467,401.662608372331,12.1628669254078
-4520.39100480392,38.6114031449354,436.452394555777,11.4286352081649
-4604.02171767559,39.0771730150612,416.370381233238,10.9824467762019
-4496.61074736719,38.1969312864903,400.298729217081,10.6807786603579
-4510.43028747335,38.3221135772466,427.38886177795,11.8427472236034
-4496.27935093703,38.1845399107397,419.878398607017,11.0332650872449
-4502.26064877061,38.5611632026742,425.815630347117,11.5942720694345
-4573.29818489851,38.0397435546433,414.705639887572,11.3039796277772
-4496.87628986256,37.5168852719422,484.698693487657,15.8196920266315
-4481.33566753205,38.2797455489124,409.274250906469,11.4864750989913
-4541.80430514174,37.500811662165,399.815799133761,10.4784798394776
-4461.71225099032,37.8841531781613,426.968206577186,13.1656789303435
-4553.82294004699,36.7259951558317,433.302676541613,11.311315135052
-4580.45477995104,40.5582475789916,432.325911816791,13.3027532235525
-4518.95051505034,38.7389426787064,411.33642872799,10.714448697263
-4500.53773153161,38.4315713580911,425.641706956736,12.3601728723939
-4615.20264605579,37.9911712189319,402.416135687464,10.4246315277863
-4529.42235727157,39.2180110434953,424.305650251318,12.0446472072206
-4602.57387988989,39.7027299457767,431.946658967926,11.6521211085151
-4446.282426784,38.2732484050625,423.618139136432,11.8043267375945
-4519.80533192842,37.9995911014182,434.420620660564,12.1468952740682
-4524.39199934516,39.0405841236064,433.825164374708,11.3451359570658
-4600.98029186962,38.6974392240551,426.971382563766,10.818823843387
-4582.49952832159,38.3911798720428,438.055224524444,11.7180884549229
-4561.68007122647,39.0233726748386,429.252375491536,11.4271335424154
-4623.80344312438,38.8382707103724,422.422403800428,11.4025451842565
-4613.29306775104,38.1233916792042,409.564490887436,10.8845930976578
-4417.4693996001,40.3612468777356,495.931858041715,17.8066499631093
-4589.6757462974,37.8593541143341,431.376882690087,11.4603185948263
-4590.19274184323,39.3701769909852,435.864532506281,12.2998360198105
-4505.40839646304,39.5014751780543,422.067964116813,11.4262779560967
-4474.88918258737,38.0489258828141,610.650381187181,21.1641307403847
-4510.46998855988,38.2939261728756,415.068288125978,10.7931106360477
-4487.79269585207,38.3035097510966,434.053500403384,12.6412772593116
-4493.9807841106,40.4370374851949,440.745936488698,11.822497370254
-4534.61261810385,38.0230455964501,403.952525078097,10.2374997121495
-4469.11786728974,37.5017394019111,488.718735245491,15.8292174608122
-4579.69767117266,41.3977069600159,409.369023867273,12.001125701352
-4560.66587842591,39.168598585163,421.869919551353,11.0340016904556
-4541.49770124991,38.7143866969594,424.980121708784,11.5433411317526
-4456.10409618344,37.4328116498536,405.140451391128,11.4367877956391
-4570.95850754695,39.3544794135757,432.218046090264,12.4248464693416
-4483.27894818212,38.4719455110325,420.674488074267,12.0280862824688
-4539.77147862307,39.0342253694463,425.75905078987,11.6864314724763
-4482.49775732995,38.1926543594397,431.424379134598,12.0334268287609
-4526.56147043441,38.6939340073613,411.777697464611,13.065842173546
-4462.10653535696,37.9733286626929,435.309410582646,12.5048388141439
-4569.85137623541,39.7176293059501,403.695884462184,10.9341662580964
-4559.2213553489,38.6305421881844,408.553589923497,10.6881602259859
-4493.14937218824,38.19147224636,417.842519565302,10.9675036953428
